Tweet,sentiment
"After using LaTeX a lot, any other typeset mathematics just looks hideous.",positive
"Today is a good day to dislike AT&amp;T. Vote out of office indeed, @danielpunkass",negative
"The great Indian tamasha truly will unfold from May 16, the result day for Indian General Election.",positive
"7 hours. 7 hours of inkscape crashing, normally solid as a rock. 7 hours of LaTeX complaining at the slightest thing. I can't take any more.",negative
Driver less cars? Fuck that I don't want machines ruling the world FTW,negative
We just saw a self driving Google car!! So awesome!,positive
fucking bored ,negative
"Thanks for share. Driverless cars won't make us thinner, healthier, happier â€œ@transitfok: Driverless cars and sprawl http://t.co/q6OI1IfwLhâ€",negative
is annoyed that we aren't trusted because they have no idea how many plans that fucks up ,negative
Took the Graduate Field Exam for Computer Science today.  Nothing makes you feel like more of an idiot than lambda calculus.,negative
@kenburbary You'll love your Kindle2. I've had mine for a few months and never looked back. The new big one is huge! No need for remorse! :),positive
@Jonathanrknight so good knight and sleep well.  I know I will now!! ,positive
":   
If Starbucks shuts down, anon is decimated",neutral
"I just fucked up my already fucked ankle because some moron thought it was a good idea to freak me out, and I slipped on ice at my door. ",negative
Imagine a world where 's self driving car merges with  and ? #itscoming #codecon,neutral
@united I guess. But what is the excuse for understaffed costumer services? 3 people had to deal with lots of angry passengers. Weather too?,negative
Sadie hates the google car. ðŸ˜‚,negative
â€œ: Di Caro uses the last question to ask about driverless cars. #Mocotranspoâ€ wild card question.,neutral
"Dick Cheney's dishonest speech about torture, terror, and Obama. -Fred Kaplan Slate. http://is.gd/DiHg",negative
wow san diego is so beautiful. even more so now that we won  but whats a good game without a good fight(;,positive
"@PDubyaD right!!! LOL we'll get there!! I have high expectations, Warren Buffet style.",positive
"Riding in a driverless car is on my bucket list, this is so damn exciting. #Google http://t.co/dOuKZKacnU",positive
has a date with bobby flay and gut fieri from food network,neutral
"House Correspondents dinner was last night whoopi, barbara &amp; sherri went, Obama got a standing ovation",positive
Closing time at zeros boo  time to chug those beers fuckers,negative
"Slight delay, something to do with the basketball... #DeflateGate?",neutral
"@united Just did, thanks for checking! :)",positive
I'd like to hear what  thinks about Tom Brady's saggy balls #DeflateGate,neutral
@united 2nd flight in two weeks that you have lost my bag!  Taking my 1K status to @AmericanAir #neveragain #WORSTCUSTOMERSERVICE,negative
@AttractMode Thanks for putting on such a great event. Can't wait for the inevitable sequels! ,positive
"@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end.",negative
omgg i ohhdee want mcdonalds damn i wonder if its open lol =],positive
@pdxcommute driverless cars will be 1000x cheaper than high-speed rail and better for everyone. HSR is a waste of money,positive
I'm really loving the new search site Wolfram/Alpha. Makes Google seem so ... quaint. http://www72.wolframalpha.com/,positive
eating breakfast and then school,neutral
Colin Powell rocked yesterday on CBS. Cheney needs to shut the hell up and go home.Powell is a man of Honor and served our country proudly,negative
@united been on the phone for over an hour with customer service and they can't figure it out! awesome service... NOT!,negative
@jktweet Hi! Just saw your Stanford talk and really liked your advice. Just saying Hi from Singapore (yes the videos do get around),positive
"I hate revision, it's so boring! I am totally unprepared for my exam tomorrow :( Things are not looking good...",negative
Man I kinda dislike Apple right now. Case in point: the iPhone 3GS. Wish there was a video recorder app. Please?? http://bit.ly/DZm1T,negative
getting ready to test out some burger receipes this weekend. Bobby Flay has some great receipes to try. Thanks Bobby.,positive
well imessage doesn't work thanks @apple,negative
"Morning Tweetland, a long day ahead! Hope everyone has a great day  ",positive
Google developing a driverless car??? da facckk?!,negative
jquery Selectors http://codylindley.com/jqueryselectors/,neutral
Good morning at work  don't wanna be there fuckit another day another dollar!!!,negative
"wait no, I didn't waste four years...it was more of putting my all into someone who doesn't give a fuck.. ",negative
Recovering from surgery..wishing @julesrenner was here :(,negative
Soooooooooo has everyone learned everything the EVAH wanted to know about FB players &amp; their balls? Have you? #DEFLATEGATE,neutral
RT @LATimesautos is now the time to buy a GM car? http://bit.ly/nRzlu,neutral
"Breaking: Microsoft Develops Self-Driving Car to Compete With Google, Death toll still rising as authorities struggle to contain destruction",negative
"My phone died at 8%, why would you let this happen @apple?",negative
 How do I enter passport information on an existing reservation before check in?,neutral
time warner has the worse customer service ever. I will never use them again,negative
 ahhh I have no more tissues and I look like a blow fish from crying.....ahhh I'm stressed the fuck out,negative
@united you suck.    9 hour delay?!,negative
"@Karoli I firmly believe that Obama/Pelosi have ZERO desire to be civil.  It's a charade and a slogan, but they want to destroy conservatism",negative
": Gosh, I'm fucking emo. I wrote on status on facebook 4 her, mum turned off Tom &amp; Jerry (which me and Ruby was enjoying) For The Hills. ",negative
@jenniferg07 it is all in good fun we know you don't want to kiss a girl. ,positive
is studing math ;) tomorrow exam and dentist :),positive
"RT @sportsguy33: New Time Warner slogan: ""Time Warner, where we make you long for the days before cable.""",negative
"@asherroth World Cup 2010 Access?? Damn, that's a good look!",positive
@colorofviolence yay  i'm happy for you guys....now hurry up and spit out the next one ,positive
Goodby Silverstein agency new site! http://www.goodbysilverstein.com/ Great!,positive
both candidates need Claritin. #StuffyNoseVoices,neutral
fuck omg  austins always there though man &lt;3 love you,negative
@united switched to fly united from delta for the past two trips and was very disappointed. Now my UA4646 on 2/23 is delayed by 3 hours!!,negative
playing with Java and the Twitter API,neutral
"By the way, I'm totally inspired by this freaky Nike commercial: http://snurl.com/icgj9",positive
I'd love a self-driving car :),positive
could it get any worse for kimi  try you fucker!,negative
Google self driving car taking blind MSN to Taco Bell and dry cleaners...awesome! #vmworld Genius Machines http://t.co/NwaaP27B,positive
"YES YES YES YES ""a future in which people simply order a self-driving car when they need one."" http://t.co/FMixpTKf0r",positive
"I FUCKING HATE PEOPLE ;_; Seriously, what fucking twat would try to pull someone out the car, threaten them and them fucking follow them? ",negative
"Rocawear Heads to China, Building 300 Stores  - http://tinyurl.com/nofet3",neutral
is in San Francisco at Bay to Breakers.,neutral
@kirstiealley Pet Dentist http://www.funnyville.com/fv/pictures/dogdentures.shtml,neutral
"@honey_honeybun Aw, thanks...let's hope so! I am more worried about Geoff's teeth! Hope you are having a good day, H or HB. ",positive
"Google driver-less car is not viable , insurance companies would have no part of it.",negative
Cheney and Bush are the real culprits - http://fwix.com/article/939496,negative
is upset about the whole GM thing. life as i know it is so screwed up,negative
http://xi.gs/04FO GM CEO: China will continue to be key partner,neutral
yeah guys i will totally bring dublin to the party. he would love the company. ,positive
"@united awesome. Thx. And thx for replying so damn fast, sure as hell beats 80s cheeze hold music!!",positive
Oooooooh... North Korea is in troubleeeee! http://bit.ly/19epAH,negative
Google Tested The Safety Of Its Self-Driving Cars By Swarming Them With Bikes /2dxztZTqSs,neutral
At GWT fireside chat @googleio,neutral
"well tweeps, im off, i gotta have a shower then go get a haircut. good bye everyone ",positive
"@united 
I will admit, you've been rather good to me over the years.
You've still got me hooked.
(for now!)
Peace.",positive
@dorkas426 i totally took the change of scenery. it was great. ,positive
 do you sell open tickets? I have a sick relative and may have to travel at a moments notice. Sad but true.,neutral
"@united we had a wonderful flight attendant named Leah that was with us from lga to den, then den to anchorage!",positive
i think my finger is fucked. 3 days later it still hurts. it hurts to hold a freaking cupcake ,negative
@united Thanks for the timely service &amp; great staff getting my wife and me to and from Cancun this past week for our honeymoon.,positive
@united I appreciate the follow up.,positive
"@united  gate agent at EWR "" if you are disabled or in a wheel chair, it's time to board, please step"". STEP UP??? Lol",negative
Am I the only one who thought #DeflateGate was about a bad shipment of Viagra? :),neutral
@berofx: good luck with your challenge ,positive
Check this video out -- President Obama at the White House Correspondents' Dinner http://bit.ly/IMXUM,neutral
I spent most of my day reading a jQuery book. Now to start drinking some delirium tremens.,neutral
"@united @FlyANA_official pleasantly surprised to find ANA has made major upgrades on their transpacific route in flights, planes and service",positive
"@KarrisFoxy If you're being harassed by calls about your car warranty, changing your number won't fix that. They call every number. #d-bags",negative
fucken a man lol. tiring night at work. hope to get this job! for got bout the hills  dang nabbit lol.. ,negative
@united  #UnitedAirlines  how long will1531 be delayed.,negative
"confirmed: it's Time Warner's fault, not Facebook's, that fb is taking about 3 minutes to load. so tempted to switch to verizon =/",negative
"Give a man a fish, u feed him for the day. Teach him to fish, u feed him for life. Buy him GM, and u F**K him over for good.",negative
": In honor of #DeflateGate, we are having a sale on things that are supposed to be flat! /1…",neutral
@united u would not be able to rebook me to get home any sooner than a now 2hr delayed flight.  #linesforever #customerservice #fail #again,negative
Today was so great.  My roommate and I played some soccer and I also got a nice run in on this sunny day  Time for some reading and sleep.,positive
@united all good! Next flight was a little delayed so it all worked 👍,positive
Google Wave Developer Sandbox Account Request http://bit.ly/2NYlc,neutral
"Only one exam left, and i am so happy for it :D",positive
@vkerkez dood I got a free google android phone at the I/O conference. The G2!,positive
Just saw Sunshine Cleaning. I love Amy Adams ,positive
ugh i need to renew the fucking restraining order.  help.,negative
@tweeterdiva I only have one for now... I'd love to have a herd someday! ,positive
Incredibly AWESOME. Can't wait. RT â€œ@MandaCessac: Google unveils its self-driving car http://t.co/9e862khJgS This is incredible.â€,positive
I can't wait for the first time a  Car gets the guts of an  Drone on its windshield.,neutral
@anna_debenham what was the php jquery hack?,neutral
"It's a bank holiday, yet I'm only out of work now. Exam season sucks:(",negative
@Croconaw goodnight ,positive
Safeway offering mobile coupons http://bit.ly/ONH7w,neutral
"@JonathanRKnight : agreed. internet? random. but i like random. watched dirty dancing, great movie, i thought of your song..  nighty night",positive
@CharlesJMeyer @Apple @Appy_Geek Hasn't Apple been doing this for decades? This is why I don't support Apple. #apple #deletegame,negative
bonjour San Francisco. My back hurts from last night..,negative
@imagejennation @whitrt we found a great Chinese place to hang out at ,positive
@richardebaker no. it is too big. I'm quite happy with the Kindle2.,positive
@ArunBasilLal I love Google Translator too ! :D Good day mate !,positive
RT @SmartChickPDX: Was just told that Nike layoffs started today :-(,negative
  taking the air out of the membership costs?.. heh.. #DeflateGate #IcanDoItToo,neutral
"@RyanStar  Hey Ryan, just thought I'd say that u put on a great show in Radford Sunday night, &amp; I'm so glad I got to meet you! ",positive
@united our flight attendant @superben was super helpful in finding a bag we left on a flight today. Excellent customer service. Name fits.,positive
"RT @designplay Goodby, Silverstein's new site: http://www.goodbysilverstein.com/ I enjoy it. *nice find!*",positive
"@Zee It's good, but buggy like a motherfucker. ",negative
Google car just drove by.... Hopefully they got me flipping them off!,negative
@Pittstock $GM good riddance.  sad though.,negative
@pmarca Couldn't agree more! Had my first ride in a self driving car today. It's amazing. Definitely the future.,positive
: Didn't expect to be on the radio this morning discussing the #Coachella2015 lineup! Thx   #KWSS,neutral
Monday already. Iran may implode. Kitchen is a disaster. @annagoss seems happy. @sebulous had a nice weekend and @goldpanda is great. whoop.,negative
@JonathanRKnight  i do embrace the simple life.  simple things like a new kids reunion makes me an extremely happy girl ,positive
"Brand New Canon EOS 50D 15MP DSLR Camera Canon 17-85mm IS Lens ...: Web Technology Thread, Brand New Canon EOS 5.. http://u.mavrev.com/5a3t",neutral
Obama: Nationalization of GM to be short-term   (AP) http://tinyurl.com/md347r,neutral
Driverless golf carts /CgRoUETWWc,neutral
 Does  not take fraud as seriously?,neutral
@united Late Flight crew into #btv last nite delayed todays flt. Will miss connection to #cun. Why do I have to play for hotel tonight in #ewr?,negative
"Safeway with Marvin, Janelle, and Auntie Lhu",neutral
@smiIingbarakat @Apple YEAH APPLE UR SLACKIN,negative
The safeway bathroom still smells like ass!,negative
"Trouble in Iran, I see. Hmm. Iran. Iran so far away. #flockofseagullsweregeopoliticallycorrect",negative
watching Night at The Museum . Lmao,positive
Pissed at Time Warner for causin me to have slow internet problems,negative
Wat the heck is North Korea doing!!??!! They just conducted powerful nuclear tests! Follow the link: http://www.msnbc.msn.com/id/30921379,negative
Star Trek was as good as everyone said!!,positive
Guess I'll be retiring my G1 and start using my developer G2 woot #googleio,positive
"RT @sportsguy33 The upside to Time Warner: unhelpful phone operators   superslow on-site service. Crap, that's not an upside.",negative
"got paid fuck all and wants to kill the lostprophets. Peace out world, i'll see you in the next life ",negative
@united no chance I wait in ORD all afternoon for another flight after you screwed me. Hold 5396,negative
Highly recommend: http://tinyurl.com/HowDavidBeatsGoliath by Malcolm Gladwell,positive
Gooood mooorning world. I had a dream last night I fucked my knee again  Def need to kick start my strengthening ready for Bournemouth 7s!,negative
i love Dwight Howard's vitamin water commercial... now i wish he was with NIKE and not adidas. lol.,positive
"#wolfram Alpha SUCKS! Even for researchers the information provided is less than you can get from #google or #wikipedia, totally useless!",negative
I need the self-driving car of Google ðŸ˜©,positive
"I like this guy : ' Barack Obama shows his funny side "" &gt;&gt; http://tr.im/l0gY !!",positive
@united holy high speed internet batman!  Speeds at United Club at IAD are insanely fast!  Thanks,positive
"They're on about driverless automated cars, why waste the money? Get a fucking taxi",negative
The way some people are glued to their phones we may already have driverless cars.,neutral
@united I was protected on that flight by gate agent Kerry at LAS. She also did an excellent job getting me to my destination today. Thanks!,positive
oh oh found some clothes!!  And i love em xD,positive
@owlmonkeys fuck you ,negative
"dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincentx24x",negative
@d3signerd â€¦being systematically run over by driverless cars.,negative
I still love my Kindle2 but reading The New York Times on it does not feel natural. I miss the Bloomingdale ads.,negative
I am such a fucking failtastic IRL friend. ,negative
I am in so much pain. My back is fucked up... I don't know what happen. It feels like something is out of place in my lower back.   ,negative
"I'm ready to drop the pretenses, I am forever in love with jQuery, and I want to marry it. Sorry ladies, this nerd is jquery.spokenFor.js",positive
It's unfortunate that after the Stimulus plan was put in place twice to help GM on the back of the American people has led to the inevitable,negative
Love when Google does futuristic stuff like this. Also giving the self driving car a face is pretty genius: http://t.co/Bgj9i6rvn0,positive
@united I am blown away by stellar #custserv !! Thank you &lt;3 http://t.co/JOrEScfb4x,positive
"Driverless cars are terrible. How can anyone be a fan of them. I mean, c'mon!!!",negative
just started playing Major League Baseball 2K9. http://raptr.com/H3LLGWAR,neutral
@united Give Cyndi &amp; Troy each a gold star.,positive
Last day of work before I go on holiday... argh... got fuck loads to do ,negative
Uber to use Google's self-driving cars in the far-future /5pv6Dlj0L9,neutral
testing Twitter API,neutral
Nike rocks. I'm super grateful for what I've done with them :) &amp; the European Division of NIKE is BEYOND! @whitSTYLES @muchasmuertes,positive
"Also, cars with drivers @transsafe: FBI warns driverless cars could be used as 'lethal weapons' @BerkeleyITS @tsrcits http://t.co/Qd9UrEImqq",negative
@wendy_bowser Thank you for the kind words!  I appreciate it.  Have a great night ,positive
"@crlane I have the Kindle2. I've seen pictures of the DX, but haven't seen it in person. I love my Kindle - I'm on it everyday.",positive
http://twurl.nl/epkr4b - awesome come back from @biz (via @fredwilson),positive
"There is an acceptable level of risk with all new technology, but the reality that people will die in autonomous car is hard to accept #sxsw",negative
Heading to a tech conference which will focus on transportation and driverless cars #AV #Innovation,neutral
@united thanks for all the help! Totally appreciate it and you made it super easy too,positive
"I'm listening to ""P.Y.T"" by Danny Gokey &lt;3 &lt;3 &lt;3 Aww, he's so amazing. I &lt;3 him so much :)",positive
"On that note, I hate Word. I hate Pages. I hate LaTeX. There, I said it. I hate LaTeX. All you TEXN3RDS can come kill me now.",negative
  Not blaming Jet Blue.  This wasn't weather. Can't have planes in the air and runways a mess. That's a disaster waiting to happen.,neutral
@united it won't help...been there done that.,negative
"@united my UA3426 on 2/19 was also delayed by 2 hours, stretching my trip way past the midnight, extremely exhausting!",negative
saw night at the museum 2 last night.. pretty crazy movie.. but the cast was awesome so it was well worth it. Robin Williams forever!,positive
i love lebron. http://bit.ly/PdHur,positive
"@united be  ""Chicago's hometown airline"" care about your neighbors #SaveTheDiagonals #FlyQuiet #ORDNoise",positive
Man accosts Roger Federer during French Open http://ff.im/3HCPT,neutral
no watching The Night At The Museum. Getting Really Good,positive
"@united is the worst. Worst reservation policies. Worst costumer service. Worst worst worst. Congrats, @Delta you're not that bad!",negative
@pfspleen I'm good! Had some very strange dreams last night but hey dreamin' means i'm sleepin'  How's you this morning?,positive
#RantsAndRaves The worst thing about GM (concord / pleasant hill / martinez): is the fucking UAW. ..   http://buzzup.com/4ueb,negative
On my way to see Star Trek @ The Esquire.,neutral
I hate the effing dentist.,negative
pissed about at&amp;t's mid-contract upgrade price for the iPhone (it's $200 more) I'm not going to pay $499 for something I thought was $299,negative
Gov. Brown gives green light to driverless cars in California - Chicago Tribune /Gx8K5faC,neutral
yankees won mets lost. its a good day.,positive
Stanford Charity Fashion Show a top draw http://cli.gs/NeNuAH,positive
Safeway Super-marketing via mobile coupons http://bit.ly/ONH7w,neutral
"""The Republican party is a bunch of anti-abortion zealots who couldn't draw flies to a dump."" -- Neal Boortz (just now, on the radio)",negative
this dentist's office is cold :/,negative
Ahhh... back in a *real* text editing environment. I &lt;3 LaTeX.,positive
"If you think people dislike Google Buses and Google Glasses, just wait till a Google Self Driving car causes children to die in a crash.",negative
curses the Twitter API limit,negative
@united received my bag. I appreciate taking care of the matter and following up!,positive
"' Barack Obama shows his funny side "" &gt;&gt; http://tr.im/l0gY !! Great speech..",positive
VIRAL MARKETING FAIL. This Acia Pills brand oughta get shut down for hacking into people's messenger's.  i get 5-6 msgs in a day! Arrrgh!,negative
"@universewx I've heard that here in Florida, self-driving cars are street-legal. I want one!",positive
"breakers. in San Francisco, CA http://loopt.us/4v88Bw.t",neutral
Driverless cars?!! Wth!i honestly don't think that's a good idea..,negative
zomg!!! I have a G2!!!!!!!,positive
Listening to Obama... Friggin North Korea...,negative
    wonder what their plans are for the Super Bowl? Deflated balls are trademark. #DeflateGate,neutral
I JUST SAW A SELF-DRIVING GOOGLE CAR HOW AWSOMMEE!!,positive
"Self-driving cars could be a decade away: A number of carmakers, with Nissan being the latest, claim that they... /DwF33TJMuN",neutral
just got back from starbucks.. tried the tea with lemonade very good  miss gg already. 1st one!,positive
is going to sleep then on a bike ride:],positive
@united Elizabeth at Washington Dulles just hooked me up with a new connecting flight at my gate! I'm super pleased!,positive
I'm itchy and miserable!,negative
Googles self driving cars...soo cool #iwantone,positive
@zampeachie @Farscale To answer both of you: I studied for FOUR hours before the exam and I'm pretty sure I still fucked it ,negative
First to own 2600 digital languages is the NEW leader of the Internet. .  . . . #onlinegaming  .,neutral
The real AIG scandal / http://bit.ly/b82Px,negative
"I just got up, I'm ill as fuck. I need more sleep and everything. Uchh ",negative
@shannyoday I will take you on a date to see night at the museum 2 whenever you want...it looks soooooo good,positive
New blog post: Nike Trainer 1 http://bit.ly/394bp,neutral
at work fixing some code that just had to broke on the saturday evening... man... who the fuck invented comuters in the first place??? ,negative
New blog post: Nike SB Dunk Low Premium 'White Gum' http://tr.im/lOtT,neutral
Self driving cars would be amazing. DDs would be a thing of the past#hurryupscience,positive
Too fucking early. Super crabby. Want to be back in bed with my pup. Wish I was staying home tonight and being in my own bed. ,negative
Class... The 50d is supposed to come today :),positive
Driverless cars. DUMBEST F..ING Idea I have ever heard of.,negative
started to think that Citi is in really deep s&amp;^t. Are they gonna survive the turmoil or are they gonna be the next AIG?,negative
@united thank you! Love united!! Have 4 flights today!,positive
"@phyreman9 Google is always a good place to look. Should've mentioned I worked on the Mustang w/ my Dad, @KimbleT.",positive
still hungry after eating....,neutral
downloading apps for my iphone! So much fun :-) There literally is an app for just about anything.,positive
Just applied at Safeway!(: Yeeeee!,positive
@cnni Driverless truck?! Perfect 'car (((Bomb))). I'll take 2 4 AIPC rats nest in Hymie town &amp; DC.,negative
"since posting the 2 new photos on my website with the kids my hit count went up...way, way, way up. love to china for 5,000 views alone. ",positive
 I would love to Fort Lauderdale now that would cool.,neutral
"Back from seeing 'Star Trek' and 'Night at the Museum.' 'Star Trek' was amazing, but 'Night at the Museum' was; eh.",negative
@mikefish  Fair enough. But i have the Kindle2 and I think it's perfect  :),positive
"@Apple, For the love of GAWD, CENTER the '1'on the damn calendar app. You fixed it once, its back, off center, AGAIN! http://t.co/dMyAHEm1Lc",negative
A friend feels like a beer on a Monday night. That's never good. But beer is always good. Always. ,positive
fucking roadworks out the front of our house ,negative
@BradmanTV Thanks....it seemed the right moment. I love your show.  Your songs bring me joy.,positive
@kirstiealley I hate going to the dentist.. !!!,negative
@ambcharlesfield lol. Ah my skin is itchy :( damn lawnmowing.,negative
@JonathanRKnight wake up with ah Jon tweet. The Best start for my day  thx Jon love You,positive
 Obama's balls are deflated too and America doesn't believe him. #DeflateGate,neutral
"@mmcallen Sigh, wish I could have a GMIC meeting here in San Diego! Spoke to Johanna already, she said it was great... ",positive
@united @jsumiyasu I am thankful to the  United ground staff who put me in the last seat on the last flight out. Home Late Flight is still home!,positive
Watching Night at the Museum - giggling.,positive
just changed my default pic to a Nike basketball cause bball is awesome!!!!!,positive
Just got barraged by a horde of insects hungry for my kitchen light. So scary.,negative
"HTML 5 Demos! Lots of great stuff to come! Yes, I'm excited. :) http://htmlfive.appspot.com #io2009 #googleio",positive
@ work til 6pm... lets go lakers!!!,positive
Just blocked United Blood Services using Google Voice. They call more than those Car Warranty guys.,negative
Self-driving cars? Sounds good to me!  --- Headline @USATODAY: California okays driverless cars http://t.co/v9jFiX1z,positive
 Maybe put a few of those dance steps to use after today's Belichick conference... #DeflateGate #Patriots #PatriotsNation,neutral
"#jobs #sittercity Help with taking care of sick child (East Palo Alto, CA) http://tinyurl.com/qwrr2m",neutral
"@craigsutton     that's a long-time, good for you!   ",positive
Night At The Museum 2? Pretty furkin good.,positive
LEbron james got in a car accident i guess..just heard it on evening news...wow i cant believe it..will he be ok ? http://twtad.com/69750,negative
@EricBttn Yeah right!! Just hang out with the cast and accidentally have ALEX fall in love with you too right??? ,positive
"Reading  ""Bill Clinton Fail - Obama Win?"" http://tinyurl.com/pcyxj7",positive
"Time Warner CEO hints at online fees for magazines      (AP) - Read from Mountain View,United States. Views 16209 http://bit.ly/UdFCH",neutral
Damn my fucking Brain... searching for an Slab Serif Type called Lubilin or something similiar ,negative
In montreal for a long weekend of R&amp;R. Much needed.,positive
@united it's amazing really.,positive
omg its getting so fucking hot out ,negative
Fuck this economy. I hate aig and their non loan given asses.,negative
is Twitter's connections API broken? Some tweets didn't make it to Twitter...,negative
My dentist appt today was actually quite enjoyable.,positive
  Yung adopted child namin has just been bitten by a wasp. I gave him Claritin.,neutral
â€œ: Google plans to build self-driving car with no steering wheel /aRzeKjjr4Qâ€,neutral
DEAR APPLE THIS IS THE WORSE SERVICE EVER @apple http://t.co/JHPs71DF0W,negative
"just had a real good moment. i missssssssss him so much, ",positive
"love u dane cook, u funny fuck!    party time for my lil sister well not so little anymore now 14!  how sad they grow up so fast",negative
"I Will NEVER Buy a Government Motors Vehicle: Until just recently, I drove GM cars. Since 1988, when I bought a .. http://tinyurl.com/lulsw8",negative
SHOUT OUTS TO ALL EAST PALO ALTO FOR BEING IN THE BUILDIN KARIZMAKAZE 50CAL GTA! ALSO THANKS TO PROFITS OF DOOM UNIVERSAL HEMPZ CRACKA......,positive
F*ck Time Warner Cable!!! You f*cking suck balls!!! I have a $700 HD tv &amp; my damn HD channels hardly ever come in. Bullshit!!,negative
@united Do we know why UA5282 is delayed x2)? This is getting crazy. I've already had 2 overnight delays. #UnitedAirlines,negative
Math review. Im going to fail the exam.,negative
"Loratadine (main ingredient in Claritin) is SO much cheaper at Target, it kinda makes me wonder if they do something to it...",neutral
is it me or is this the best the playoffs have been in years oh yea lebron and melo in the finals,positive
@MushyV Ahhhhh that Hoff programme sounded CLASSS!!!! I fuckin missed it  hopes there's a repeat innit,negative
"@aiduong Oh goodness, I didn't know you could message friends on here! Hello Ai ",positive
Rt @LilTanLines I know I'm Special... hahaha But the fucking Special Olympics won't let me compete in their events. ,negative
"GM files Bankruptcy, not a good sign...",negative
annoying new trend on the internets:  people picking apart michael lewis and malcolm gladwell.  nobody wants to read that.,negative
"@united Now arriving a day and a half Late Flightr than supposed to. Lesson of the day, don't believe verbal or written confirmations from United",negative
Will the Lakers kick the Nuggets ass tonight?,positive
": Wonder if there’ll b investigation 2 determine how over inflated , ,  heads are after this? …",neutral
fucking myspace!! Let me check my new comments nowwwwwww ,negative
@ims What is AT&amp;T fucking up?,negative
RT @shrop: Awesome JQuery reference book for Coda! http://www.macpeeps.com/coda/ #webdesign,positive
@united Why isn't the flight status updated to delayed UA1532 no board,negative
"@united, last week shanghai to sfo 858 delay 5hrs bc of engine. today sfo-sea delay to ""sick pilot"". no compensation. They Do. Not. Care.",negative
"Getting ready to go watch Night at the Museum 2.  Dum dum, you give me gum gum!",neutral
"glad i didnt do Bay to Breakers today, it's 1000 freaking degrees in San Francisco wtf",negative
i loved night at the museum!!!,positive
God sho love him some me  feeling really really blessed tonight++++++,positive
"Ok, @apple. You win. I won't use your browser anymore since it keeps closing on me. Literally 8 times today. I counted.",negative
"I just wrote and entire story, and it didn't save.   Motherfucker.   http://twitter.com/disintegration/statuses/1548632552",negative
#at&amp;t is complete fail.,negative
"has discovered that she loves easter crafts, eggs, hot cross buns... feel like watching the prince of egypt to aid my easter meditations ",positive
i hate comcast right now. everything is down cable internet &amp; phone....ughh what am i to do,negative
Testing Twitter API. Remote Update,neutral
"oh hell no, i know enough about computers to not trust a driverless car",negative
Excited about seeing Bobby Flay and Guy Fieri tomorrow at the Great American Food &amp; Music Fest!,positive
The google carðŸ˜‚ /tZ2KkGl4as,neutral
Dentist tomorrow. Have to brush well in the morning. Like I make my hair all nice before I get it cut. Why?,neutral
I couldn't be more excited about self-driving cars http://t.co/hpXkh7hX,positive
Booz Allen Hamilton has a bad ass homegrown social collaboration platform. Way cool!  #ttiv,positive
"I reaaly miss john mayer's twitters.  fuck rude people. Remove him if you don't like his tweets, bitchfucks.",negative
just watched night at the museum 2! so stinkin cute!,positive
@united You might be dealing with frustrated passenegers. hope you all have a great day :) thank you very much for an amazing airline :),positive
NCAA Baseball Super Regional - Rams Club http://bit.ly/Ro7nx,neutral
